index	name	kind	tier	variant
156	HallowedLash	Summon	7	1
157	HallowedBeacon	Summon	7	2
158	ChlorophyteIdol	Summon	8	0
159	ChlorophyteLash	Summon	8	1
160	ChlorophyteBeacon	Summon	8	2
161	TempleIdol	Summon	9	0
162	TempleLash	Summon	9	1
163	TempleBeacon	Summon	9	2
164	LunarIdol	Summon	10	0
165	LunarLash	Summon	10	1
166	LunarBeacon	Summon	10	2
167	CelestialIdol	Summon	11	0
168	CelestialLash	Summon	11	1
169	CelestialBeacon	Summon	11	2
170	MonthraIdol	Summon	12	0
171	MonthraLash	Summon	12	1
172	MonthraBeacon	Summon	12	2
173	CrystalineIdol	Summon	13	0
174	CrystalineLash	Summon	13	1
175	CrystalineBeacon	Summon	13	2
176	KrakenbaneIdol	Summon	14	0
177	KrakenbaneLash	Summon	14	1
178	KrakenbaneBeacon	Summon	14	2
179	AbyssalIdol	Summon	15	0
180	AbyssalLash	Summon	15	1
181	AbyssalBeacon	Summon	15	2
182	ChaoticIdol	Summon	16	0
183	ChaoticLash	Summon	16	1
184	ChaoticBeacon	Summon	16	2
185	TimberCharm	Accessory	0	0
186	GelbornBand	Accessory	1	1
187	DemonEmblem	Accessory	2	2
188	HivePendant	Accessory	3	3
189	DungeonCompass	Accessory	4	4
190	InfernalHeart	Accessory	5	0
191	CobaltDrive	Accessory	6	1
192	HallowedCrest	Accessory	7	2
193	ChlorophyteBloom	Accessory	8	3
194	TempleGear	Accessory	9	4
195	LunarSeal	Accessory	10	0
196	CelestialEngine	Accessory	11	1
197	MonthraWingScale	Accessory	12	2
198	CrystalineWard	Accessory	13	3
199	KrakenLens	Accessory	14	4
200	AbyssalAnchor	Accessory	15	0
201	ChaoticHeart	Accessory	16	1
202	WarriorSigil	Accessory	7	0
203	RangerScope	Accessory	8	1
204	MageSeal	Accessory	9	2
205	SummonerCrest	Accessory	10	3
206	MoonlitAegis	Accessory	11	4
207	MonthraFury	Accessory	12	0
208	CrystalRushCore	Accessory	13	1
209	KrakenStormWings	Accessory	14	2
210	IronrootPickaxe	Tool	1	0
211	DemonDrill	Tool	2	3
212	HiveAxe	Tool	3	1
213	DungeonHammer	Tool	4	2
214	InfernalPickaxe	Tool	5	0
215	CobaltExcavator	Tool	6	3
216	HallowedMultitool	Tool	7	0
217	ChlorophytePickaxe	Tool	8	0
218	TempleBreaker	Tool	9	2
219	LunarDrill	Tool	10	3
220	CelestialPickaxe	Tool	11	0
221	MonthraAxe	Tool	12	1
222	CrystalineExcavator	Tool	13	3
223	KrakenbreakerPickaxe	Tool	14	0
224	ChaoticWorldshaper	Tool	16	2
225	SurfaceSurvivalTonic	Consumable	0	0
226	GelbornRecoveryPotion	Consumable	1	1
227	DemonicBattleDraught	Consumable	2	2
228	HiveReflexElixir	Consumable	3	3
229	DungeonSightPotion	Consumable	4	4
230	InfernalGuardFlask	Consumable	5	5
231	MechanicalOverdrive	Consumable	7	6
232	LunarFocusSerum	Consumable	10	7
233	CrystalineRestoration	Consumable	13	8
234	ChaoticLimitBreak	Consumable	16	9
235	SurfaceFiber	Material	0	0
236	GelatinousPearl	Material	1	1
237	DemonicAlloy	Material	2	2
238	HiveResin	Material	3	3
239	DungeonRelic	Material	4	4
240	MoltenCore	Material	5	5
241	MechanicalMatrix	Material	7	6
242	JungleHeart	Material	8	7
243	LunarPrismShard	Material	10	8
244	AbyssalKrakenCore	Material	15	9
