prancha,categoria,ficheiro,largura,altura
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenInkSplash2.png,200,200
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenInkSplash3.png,200,200
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenInkSplash4.png,200,200
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenTelescopeMask.png,2048,2048
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenTitle.png,547,203
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenBoss.png,3240,4200
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenBoss_Head_Boss.png,80,80
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenBossLoopBack.png,3240,4200
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenBossMoveHorizontal.png,3240,4200
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenBossMoveUp.png,3240,4200
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenEyeOrb.png,96,96
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenGrabTentacleSegment.png,112,112
2,Sprites e recursos integrados (2/13),Content/NPCs/Kraken/KrakenMinion.png,600,720
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRedDiamond.png,96,96
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRubyHeadBroken.png,96,96
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRubyHeadNormal.png,96,96
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRubyHeadOff.png,96,96
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRubyShield.png,960,480
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRubyShieldBroken.png,960,480
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenRubyShieldOff.png,960,480
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenTentacle.png,133,340
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenTentacleSegment.png,96,96
3,Sprites e recursos integrados (3/13),Content/NPCs/Kraken/KrakenWaterSpike.png,112,192
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenAbyssVortex.png,512,512
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenHypnosisVortex.png,1024,1024
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenLaserFrames.png,2160,3660
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenLightningStrike.png,192,1024
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenRedBolt.png,160,52
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenSkyBeam.png,320,2048
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenTrackingLaser.png,1400,220
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenWaterDrop.png,96,96
3,Sprites e recursos integrados (3/13),Content/Projectiles/KrakenWaterJet.png,256,80
3,Sprites e recursos integrados (3/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourBreastplate.png,32,32
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourBreastplate_Arms.png,360,224
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourBreastplate_Body.png,360,224
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourBreastplate_FemaleBody.png,360,224
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourGreaves.png,32,32
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourGreaves_Legs.png,40,1120
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourMagicHelm.png,32,32
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourMagicHelm_Head.png,40,1120
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourMeleeHelm.png,32,32
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourMeleeHelm_Head.png,40,1120
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourRangedHelm.png,32,32
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourRangedHelm_Head.png,40,1120
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourSummonerHelm.png,32,32
4,Sprites e recursos integrados (4/13),Content/Items/Armor/CrystalineDevour/CrystalineDevourSummonerHelm_Head.png,40,1120
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaBreastplate.png,34,20
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaBreastplate_Arms.png,40,56
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaBreastplate_Body.png,40,56
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaBreastplate_FemaleBody.png,40,56
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaGreaves.png,22,18
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaGreaves_Legs.png,40,56
4,Sprites e recursos integrados (4/13),Content/Items/Armor/Rosalita/RosalitaHelmet.png,22,22
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Rosalita/RosalitaHelmet_Head.png,40,56
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowBreastplate.png,30,26
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowBreastplate_Arms.png,40,56
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowBreastplate_Body.png,40,56
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowBreastplate_FemaleBody.png,40,56
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowGreaves.png,26,18
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowGreaves_Legs.png,40,56
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowHelmet.png,22,22
5,Sprites e recursos integrados (5/13),Content/Items/Armor/Shadow/ShadowHelmet_Head.png,40,56
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineDevourerBody.png,128,128
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineDevourerHead.png,128,128
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineDevourerHead_Head_Boss.png,80,80
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineDevourerSkyBeam.png,16,64
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineDevourerTail.png,128,128
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineDevourerTailCap.png,128,128
5,Sprites e recursos integrados (5/13),Content/Bosses/CrystalineDevourer/CrystalineShard.png,54,54
5,Sprites e recursos integrados (5/13),Content/Bosses/Monthra/MonthraBoss.png,880,7680
5,Sprites e recursos integrados (5/13),Content/Bosses/Monthra/MonthraBoss_Head_Boss.png,26,26
5,Sprites e recursos integrados (5/13),Content/NPCs/Critters/MonthraButterfly.png,40,360
5,Sprites e recursos integrados (5/13),Content/NPCs/MagnetMage/MagnetMageBoss.png,2800,4080
6,Sprites e recursos integrados (6/13),Content/NPCs/MagnetMage/MagnetMageBoss_preview.png,880,1200
6,Sprites e recursos integrados (6/13),Content/NPCs/MagnetMage/MagnetMageBoss_preview_f0.png,1120,1360
6,Sprites e recursos integrados (6/13),Content/NPCs/MagnetMage/MagnetMageBoss_preview_f15.png,1120,1360
6,Sprites e recursos integrados (6/13),Content/NPCs/MagnetMage/MagnetMageBoss_preview_f45.png,1120,1360
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/AlessandraNpc.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/AppleCow.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/BigButterfly.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/BlueButterfly.png,40,120
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/CrystalAppleCow.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/CrystalGoldenAppleCow.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/DimensionPig.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/FireflyCritter.png,16,16
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/GoldenAppleCow.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/GreenButterfly.png,48,48
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/RedButterfly.png,40,120
6,Sprites e recursos integrados (6/13),Content/NPCs/MinecraftLegacy/YellowButterfly.png,40,120
6,Sprites e recursos integrados (6/13),Content/NPCs/ShadowBiome/KrakenSquid.png,30,56
6,Sprites e recursos integrados (6/13),Content/NPCs/ShadowBiome/Phantasm.png,40,224
6,Sprites e recursos integrados (6/13),Content/NPCs/ShadowBiome/ShadowEye.png,42,168
6,Sprites e recursos integrados (6/13),Content/NPCs/ShadowBiome/ShadowSlime.png,48,68
7,Sprites e recursos integrados (7/13),Content/NPCs/ShadowBiome/ShadowWorm.png,64,128
7,Sprites e recursos integrados (7/13),Content/Items/Accessories/CrystalineEye.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/Consumables/CrystalinePotion.png,26,34
7,Sprites e recursos integrados (7/13),Content/Items/Materials/CrystalineTear.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/Materials/MonthraScale.png,20,20
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/Alexandrite.png,16,16
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/BedrockStick.png,16,16
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/BlueBerryPlant.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/ChaosCrystal.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/EndernmonScale.png,20,20
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/FrozenFlame.png,16,16
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/GlassStick.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/GreystedWood.png,16,16
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/HappyCreeperStaff.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/IronStick.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/KrakenBlade.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/KrakenTear.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/RatrixStick.png,32,32
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/RawAlexandriteBlock.png,16,16
7,Sprites e recursos integrados (7/13),Content/Items/MinecraftLegacy/RosalitaGem.png,32,32
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/RosalitaOre.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/RosalitaShield.png,32,32
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowBar.png,30,24
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowBlock.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowCreeperHead.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowGem.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowNugget.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowOre.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowPickaxe.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/ShadowSword.png,16,16
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/SquidKrakenStaff.png,32,32
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/VortexBlade.png,32,32
8,Sprites e recursos integrados (8/13),Content/Items/MinecraftLegacy/VortexGem.png,32,32
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/ChaosCrystalPickaxe.png,46,46
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/EclipsedMonthraAxe.png,64,64
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/EclipsedMonthraBlade.png,74,74
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/EclipsedMonthraBow.png,18,40
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/EclipsedMonthraHammer.png,38,38
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/EclipsedMonthraPickaxe.png,36,36
8,Sprites e recursos integrados (8/13),Content/Items/ShadowBiome/EclipsedMonthraWand.png,34,34
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/EclipsedMonthraWhip.png,38,34
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/GloryBoots.png,32,32
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/GloryBoots_Shoes.png,40,56
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/GodnessAnvil.png,32,32
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/HeartOfShadows.png,32,32
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/HeartOfTheGod.png,28,28
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaAxe.png,44,44
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaBlade.png,70,70
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaBow.png,20,50
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaHammer.png,78,78
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaPickaxe.png,44,44
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaWand.png,42,40
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/RosalitaWhip.png,38,34
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowArrow.png,18,32
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowBow.png,42,64
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowBullet.png,16,16
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowDirtBlock.png,16,16
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowManaPotion.png,24,32
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowMeleePotion.png,24,32
9,Sprites e recursos integrados (9/13),Content/Items/ShadowBiome/ShadowScrap.png,18,18
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowStaff.png,42,64
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowStoneBlock.png,16,16
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowSummonStaff.png,40,56
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowTotem.png,28,34
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowWhip.png,36,56
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowWood.png,24,22
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/ShadowZenith.png,64,64
10,Sprites e recursos integrados (10/13),Content/Items/ShadowBiome/SoulOfShadow.png,22,22
10,Sprites e recursos integrados (10/13),Content/Items/Summons/CrystalineSigil.png,32,32
10,Sprites e recursos integrados (10/13),Content/Items/Summons/KrakenSummonItem.png,34,34
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Magic/CrystalineStaff.png,48,48
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Magic/MonthraWand.png,32,32
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Melee/CrystalineSword.png,64,64
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Melee/MonthraBlade.png,40,40
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Ranged/CrystalineGun.png,64,32
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Ranged/MonthraBow.png,32,32
10,Sprites e recursos integrados (10/13),Content/Items/Weapons/Summon/MonthraButterflyStaff.png,26,34
10,Sprites e recursos integrados (10/13),Content/Projectiles/Hostile/KrakenLightningBolt.png,24,96
10,Sprites e recursos integrados (10/13),Content/Projectiles/Hostile/MonthraFireball.png,24,96
10,Sprites e recursos integrados (10/13),Content/Projectiles/Hostile/MonthraFireballHoming.png,24,96
11,Sprites e recursos integrados (11/13),Content/Projectiles/Hostile/SnowBlazeFrostFireball.png,24,96
11,Sprites e recursos integrados (11/13),Content/Projectiles/Hostile/SnowBlazeIceShard.png,24,96
11,Sprites e recursos integrados (11/13),Content/Projectiles/Hostile/SquidKrakenWaterBolt.png,24,96
11,Sprites e recursos integrados (11/13),Content/Projectiles/Magic/RosalitaMagicBolt.png,18,18
11,Sprites e recursos integrados (11/13),Content/Projectiles/Magic/ShadowBoltProjectile.png,24,24
11,Sprites e recursos integrados (11/13),Content/Projectiles/Melee/EclipsedMonthraWhipProjectile.png,10,92
11,Sprites e recursos integrados (11/13),Content/Projectiles/Melee/RosalitaWhipProjectile.png,10,92
11,Sprites e recursos integrados (11/13),Content/Projectiles/Melee/ShadowWhipProjectile.png,14,74
11,Sprites e recursos integrados (11/13),Content/Projectiles/Melee/ShadowZenithProjectile.png,52,52
11,Sprites e recursos integrados (11/13),Content/Projectiles/Ranged/ShadowArrowProjectile.png,16,16
11,Sprites e recursos integrados (11/13),Content/Projectiles/Ranged/ShadowBulletProjectile.png,14,14
11,Sprites e recursos integrados (11/13),Content/Projectiles/Summon/HappyCreeperMinion.png,48,192
11,Sprites e recursos integrados (11/13),Content/Projectiles/Summon/ShadowCrystalBolt.png,18,18
11,Sprites e recursos integrados (11/13),Content/Projectiles/Summon/ShadowCrystalMinion.png,30,168
11,Sprites e recursos integrados (11/13),Content/Projectiles/Summon/SquidKrakenMinion.png,32,64
11,Sprites e recursos integrados (11/13),Assets/UI/ChaoticDimensionsMenuTitle.png,2600,900
11,Sprites e recursos integrados (11/13),Assets/UI/CrystalineCosmosBackground.png,3200,1800
11,Sprites e recursos integrados (11/13),Assets/UI/CrystalineDevourArmorPreview.png,360,170
11,Sprites e recursos integrados (11/13),Assets/UI/CrystalineDevourerTitleCard.png,3200,1400
11,Sprites e recursos integrados (11/13),Assets/UI/KrakenPlayerVignette.png,1024,1024
12,Sprites e recursos integrados (12/13),Assets/UI/MonthraTitleCard.png,3200,1400
12,Sprites e recursos integrados (12/13),Content/Buffs/KrakenAbyssBreathBuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/KrakenCrushingDepthDebuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/MonthraButterflyBuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/ShadowCrystalMinionBuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/ShadowManaPotionBuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/ShadowMeleePotionBuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/ShadowRendDebuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Buffs/ShadowTagBuff.png,32,32
12,Sprites e recursos integrados (12/13),Content/Tiles/CrystalineBarrierBlock.png,16,16
12,Sprites e recursos integrados (12/13),Content/Tiles/MinecraftLegacy/BlueBerryPlantTile.png,32,32
12,Sprites e recursos integrados (12/13),Content/Tiles/MinecraftLegacy/GreystedWoodTile.png,16,16
12,Sprites e recursos integrados (12/13),Content/Tiles/MinecraftLegacy/RawAlexandriteBlockTile.png,16,16
12,Sprites e recursos integrados (12/13),Content/Tiles/MinecraftLegacy/RosalitaOreTile.png,288,270
12,Sprites e recursos integrados (12/13),Content/Tiles/MinecraftLegacy/ShadowBlockTile.png,16,16
12,Sprites e recursos integrados (12/13),Content/Tiles/MinecraftLegacy/ShadowOreTile.png,288,270
12,Sprites e recursos integrados (12/13),Content/Tiles/ShadowBiome/GodnessAnvilTile.png,62,32
12,Sprites e recursos integrados (12/13),Content/Tiles/ShadowBiome/ShadowDirtTile.png,288,270
12,Sprites e recursos integrados (12/13),Content/Tiles/ShadowBiome/ShadowGrassTile.png,288,270
12,Sprites e recursos integrados (12/13),Content/Tiles/ShadowBiome/ShadowStoneTile.png,288,270
13,Sprites e recursos integrados (13/13),Content/Tiles/ShadowBiome/ShadowWoodTile.png,176,264
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_initial_dark_rework/Kraken_initial_dark_frame.png,540,700
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_initial_dark_rework/Kraken_initial_dark_preview.gif,378,490
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_initial_dark_rework/KrakenBoss.png,3240,4200
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_initial_dark_rework/KrakenBossLoopBack.png,3240,4200
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_initial_dark_rework/KrakenBossMoveHorizontal.png,3240,4200
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_initial_dark_rework/KrakenBossMoveUp.png,3240,4200
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD.png,3840,6144
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_clean_texture.png,3840,6144
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_clean_texture_comparison_first6.png,1620,924
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_clean_texture_frame0_640x1024.png,640,1024
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_clean_texture_FULLHD_preview.png,1920,1080
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_clean_texture_preview_320x512.gif,320,512
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_comparison_first6.png,1620,1134
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_frame0_640x1024.png,640,1024
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_FULLHD_preview.png,1920,1080
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBoss_new_no_eyes_HD_preview_320x512.gif,320,512
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBossLoopBack_new_no_eyes_HD.png,3840,6144
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBossLoopBack_new_no_eyes_HD_clean_texture.png,3840,6144
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBossMoveHorizontal_new_no_eyes_HD.png,3840,6144
14,Evolucao e materiais de trabalho (1/5),assets_work/kraken_new_output/production_hd/KrakenBossMoveHorizontal_new_no_eyes_HD_clean_texture.png,3840,6144
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_new_output/production_hd/KrakenBossMoveUp_new_no_eyes_HD.png,3840,6144
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_new_output/production_hd/KrakenBossMoveUp_new_no_eyes_HD_clean_texture.png,3840,6144
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_rework_exaggerated/Kraken_exaggerated_first6.png,4860,1050
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_rework_exaggerated/Kraken_exaggerated_preview.gif,270,350
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_rework_exaggerated/KrakenBoss.png,4860,6300
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_rework_exaggerated/KrakenBossLoopBack.png,4860,6300
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_rework_exaggerated/KrakenBossMoveHorizontal.png,4860,6300
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_rework_exaggerated/KrakenBossMoveUp.png,4860,6300
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_clean_hd/Kraken_clean_HD_preview.png,466,604
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_clean_hd/KrakenBoss.png,5592,7248
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_clean_hd/KrakenBossLoopBack.png,5592,7248
15,Evolucao e materiais de trabalho (2/5),assets_work/kraken_clean_hd/KrakenBossMoveHorizontal.png,5592,7248
